Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Draugiškas sunkvežimis,Sigutė Ach,2019,8,0,0,0,Vaiga,"13,5 x 18,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Draugystė ant straublio galo,Aušra Kiudulaitė,2017,48,0,0,17.79,Tikra knyga,"22,5 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,14,4,
Draugystė su piene,Knister,2013,40,0,0,0,Alma littera,"24 x 29 cm, kieti viršeliai",Lietuvių,1,5,
Driežiukas ir jo aidas,Rachel Bright,2022,32,9.59,6.99,0,Baltos lankos,"22,2 x 27 x 0,8 cm, kieti viršeliai",Lietuvių,2,5,
Drovumas: mano pirmosios emocijos,Rachel Bright,2021,26,8.11,4.87,0,Presvika,"16,5 x 16,5 x 2,2 cm, kieti viršeliai",Lietuvių,0,0,
"Drugeli, skrisk!",Rachel Bright,2007,8,0,0,0,Mūsų knyga,"16 x 18 x 0,5 cm, kieti viršeliai",Lietuvių,0,0,
Drugelio svajonė (su judančiomis akimis),Rachel Bright,2021,10,4.86,3.65,0,Presvika,"20 x 20 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Drugelis,Campbell Books,2023,10,11.79,4.69,0,Alma littera,"18 x 18 x 1,3 cm, kieti viršeliai",Lietuvių,1,5,
Du broliai. Kelionė jūra,Saulius Žukas,2023,40,11.39,10.25,0,Baltos lankos,"20,8 x 29,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Du broliai. Senoviniame mieste,Saulius Žukas,2023,40,11.39,10.25,0,Baltos lankos,"20,8 x 29,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Du gaideliai,Saulius Žukas,2022,8,16.25,11.38,0,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,3,4,
Du gaideliai,Saulius Žukas,2023,16,2.79,2.51,0,Dajalita,"21 x 29 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Du gaideliai. Lietuviškos dainelės su pianinu,Saulius Žukas,2015,16,0,0,0,Presvika,"24 x 28 x 3 cm, kieti viršeliai",Lietuvių,2,4,
Du gaideliai. Su garsais,Saulius Žukas,2014,8,0,0,0,Alma littera,"21,5 x 28,5 cm, kieti viršeliai",Lietuvių,6,4,
Du gaideliai,Saulius Žukas,2010,10,0,0,0,Alma littera,"21 x 29 cm, kieti viršeliai",Lietuvių,0,0,
Du paršeliai,Lina Žutautė,2021,36,11.99,8.39,11.99,Alma littera,"25,5 x 25,5 x 0,8 cm, kieti viršeliai",Lietuvių,5,3,
Du pieštukai: tekstai vaikų mąstymo gebėjimams plėtoti,Jonas Ambrukaitis,2017,36,2.59,2.33,0,Lucilijus,"18 x 26 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Dukrytė,Ariel Andrés Almada & Sonja Wimmer,2021,40,10.69,9.62,0,Odilė,"21 x 27 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Dūksta kaime gyvulėliai. Dėlionių knygelė,Ariel Andrés Almada & Sonja Wimmer,2023,10,10.69,10.69,0,Trys nykštukai,"17 x 23 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Duobė,Evelina Daciūtė,2021,72,15.99,14.39,15.99,Aukso žuvys,"17 x 23,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Dūzgia ūkis. Su 50 įvairių ūkio garsų,Evelina Daciūtė,2024,10,20.59,15.44,0,Vaiga,"30 x 28 x 1,6 cm, kieti viršeliai",Lietuvių,0,0,
Vilkiaus nuotykiai. Dvi salos ir kiti pasakojimai,Jean-François Kieffer,2021,42,8.19,7.37,0,Magnificat leidiniai,"21 x 28 x 0,4 cm, minkšti viršeliai",Lietuvių,0,0,
ŽIULIS VERNAS. Adaptuota klasika vaikams,Žiulis Vernas,2024,182,15.19,13.67,15.19,Trys nykštukai,"25,7 x 30,7 x 2,8 cm, kieti viršeliai",Lietuvių,2,4,
Dvylika dovanų Kalėdų Seneliui,Mauri Kunnas,2014,48,0,0,18.99,Nieko rimto,"23,4 x 29,6 cm, kieti viršeliai",Lietuvių,3,5,
Džiaugsmas: mano pirmosios emocijos,Mauri Kunnas,2021,26,8.11,4.87,0,Presvika,"16,5 x 16,5 x 2,2 cm, kieti viršeliai",Lietuvių,0,0,
Džipas televizoriuje,Gianni Rodari,2008,88,0,0,0,Nieko rimto,"17 x 16 cm, kieti viršeliai",Lietuvių,0,5,
Džiugo šokis,John Yeoman,2012,32,0,0,2.19,Gimtasis žodis,"27 x 23 cm, minkšti viršeliai",Lietuvių,2,5,
Džiunglės. Liečiu ir jaučiu,John Yeoman,2023,16,0,0,0,Vaiga,"14 x 17,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Džiunglės. Linksmieji skaičiai. Nutrink lengvai,Ben Adams,2012,14,0,0,0,Alma littera,"19 x 23,5 cm, kieti viršeliai",Lietuvių,0,0,
Džiunglėse gali paklysti – čia gyvūnų karalystė,Ben Adams,2010,18,0,0,0,Trys nykštukai,"8,5 x 8,5 cm, kieti viršeliai",Lietuvių,0,0,
Džiunglių balsai (su garsais),Claudio Cernuschi,2011,12,0,0,0,Trys nykštukai,"26 x 29,5 cm, kieti viršeliai",Lietuvių,0,0,
Džiunglių garsų knygelė,Claudio Cernuschi,2013,12,0,0,0,Alma littera,"19 x 19,5 cm, kieti viršeliai",Lietuvių,1,5,
Džiunglių istorijos,Saulė Paltanavičiūtė,2022,88,21.09,6.29,21.09,Alma littera,"20 x 25 x 1,3 cm, kieti viršeliai",Lietuvių,0,0,
Džiunglių knyga: iškilūs paveikslėliai,Saulė Paltanavičiūtė,2017,10,0,0,0,Trys nykštukai,"18 x 14 x 1,5 cm, kieti viršeliai",Lietuvių,2,5,
Džiunglių knyga,Saulė Paltanavičiūtė,2018,32,0,0,5.79,Vaiga,"21 x 25,5 x 1,5 cm, kieti viršeliai",Lietuvių,3,4,
Džiunglių knyga. Audioknyga,Saulė Paltanavičiūtė,2013,32,0,0,0,Egmont Lietuva,"14 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
Džiunglių knyga. Skaitymas skiemenimis,Saulė Paltanavičiūtė,2015,28,0,0,0,Naujoji Rosma,"28 x 21 cm, minkšti viršeliai",Lietuvių,0,0,
"Džiunglių pasakos. Pasakų knyga, mokanti tapti geresniais",Maria Maneru,2015,48,0,0,0,Naujoji Rosma,"22,5 x 29 cm, minkšti viršeliai",Lietuvių,3,4,
Džyru džyru Kalėdos. Lietuviškos kalėdinės dainelės,Aušra Žičkienė,2024,10,18.59,16.50,0,Baltos lankos,"27,7 x 22,2 x 1,8 cm, kieti viršeliai",Lietuvių,5,5,
"DŽYRU DŽYRU MUZIKĖLĖ: tarimą lavinančios dainelės. Vartykite, klausykite ir dainuokite kartu su vaikais!",Aušra Žičkienė,2020,56,0,0,24.99,Baltos lankos,"32 x 22,5 x 0,8 cm, kieti viršeliai",Lietuvių,88,4,
Džyru džyru muzikėlė. Tartį lavinančios dainelės,Aušra Žičkienė,2023,28,18.29,16.26,18.29,Baltos lankos,"32 x 22,5 x 1,9 cm, kieti viršeliai",Lietuvių,3,5,
"Džyru džyru muzikėlė. Dainelės apie žvėris, paukščius ir bites",Aušra Žičkienė,2024,26,19.49,16.98,0,Baltos lankos,"33,8 x 23,2 x 2 cm, kieti viršeliai",Lietuvių,9,5,
Eglė žalčių karalienė (2021),Aušra Žičkienė,2021,16,2.09,1.88,0,Dajalita,"21,5 x 28,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,4,
"Ei, čia mano baubas!",Amanda Noll,2018,32,0,0,16.59,Lietuvos rašytojų sąjungos leidykla,"26 x 26 x 1 cm, kieti viršeliai",Lietuvių,6,4,
"Ei, karžygy",Karen Young,2017,32,0,0,0,Vaga,"21,5 x 28 x 0,8 cm, kieti viršeliai",Lietuvių,2,5,
"EI, ŠAUNUOLI: knyga vaikams apie nerimą ir drąsą",Karen Young,2019,36,0,0,0,Vaga,"21,6 x 27,7 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Ei! Tavęs laukia plačiausi keliai!,Dr. Seuss,2023,56,11.39,10.25,0,Baltos lankos,"27,6 x 20,3 x 1 cm, kieti viršeliai",Lietuvių,2,5,
"Ei, tėti… Ar dešimt yra daug?",Sabine Bohlmann,2021,26,8.49,7.64,0,Nieko rimto,"22,2 x 28,3 x 0,7 cm, kieti viršeliai",Lietuvių,0,4,
"EI, VARLE! Spalvinga, šmaikšti ir netikėtai rimuota istorija vaikams nuo 3 metų",Kes Gray,2020,32,8.19,6.99,0,Baltos lankos,"24,8 x 24,8 x 0,7 cm, kieti viršeliai",Lietuvių,4,4,
Eido vasara,Indrė Beinartė,2022,32,14.59,13.13,0,I. Beinartė,"20 x 27 x 0,8 cm, kieti viršeliai",Lietuvių,2,5,
Eime į zoologijos sodą! Vaikai mokosi piešti. Žingsnis po žingsnio,Corina Beurenmeister,2012,64,0,0,5.19,Alma littera,"20 x 27 cm, kieti viršeliai",Lietuvių,1,5,
Eime slėpynių!,Chris Naylor-Ballesteros,2022,32,8.59,5.15,0,Debesų ganyklos,"27,6 x 27,6 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Eime žaisti!,Miriam Cordes,2012,12,0,0,0,Baltos lankos,"13 x 13 cm, kieti viršeliai",Lietuvių,0,0,
"Elė, lokys ir sniegas",Corinne Giampaglia,2020,40,9.00,8.10,9.00,Nieko rimto,"16,4 x 22,6 x 1,3 cm, kieti viršeliai",Lietuvių,0,0,
Elė ilgisi namų,Holly Webb,2013,128,0,0,2.33,Alma littera,"12,5 x 20 cm, kieti viršeliai",Lietuvių,1,5,
Elmerio nuotykiai,David McKee,2016,88,0,0,0,Nieko rimto,"21,9 x 24,5 cm, kieti viršeliai",Lietuvių,0,4,
Elmeris,David McKee,2014,32,0,0,0,Nieko rimto,"24,6 x 28,1 cm, kieti viršeliai",Lietuvių,3,4,
Mieli gyvūnėliai. Liečiu ir jaučiu. Elniukas,David McKee,2024,10,8.89,6.67,0,Vaiga,"14,7 x 14,7 x 2 cm, kieti viršeliai",Lietuvių,0,0,
"Elniukas: Dairykis, stebėkis ir į galvą dėkis",Liuda Petkevičiūtė,2007,16,0,0,0,Trys nykštukai,"10 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
Elniukas laukia Kalėdų,Liuda Petkevičiūtė,2024,12,6.89,5.17,0,Vaiga,"20 x 20 x 0,6 cm, kieti viršeliai",Lietuvių,0,0,
Emilio laiškas (2015),Ignė Zarambaitė,2015,48,0,0,6.99,Labdaros ir paramos fondas „Švieskime vaikus“,"16,5 x 22,5 x 0,5 cm, minkšti viršeliai",Lietuvių,1,5,
Emilio laiškas,Ignė Zarambaitė,2020,64,11.49,10.34,11.49,Nieko rimto,"22 x 24 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Emiliukė ir žvaigždutė iš dangaus,Kamile Stokowska,2022,32,10.49,2.10,0,Gelmės,"22 x 22 x 0,4 cm, minkšti viršeliai",Lietuvių,0,0,
Emocijos: pajudink ir pažadink,Kamile Stokowska,2022,12,0,0,0,Vaiga,"19 x 19 x 1,6 cm, kieti viršeliai",Lietuvių,0,0,
Emocijos: pajudink ir pažadink,Kamile Stokowska,2021,10,0,0,0,Vaiga,"19,5 x 19,5 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
Emocijos,Kamile Stokowska,2022,10,9.73,7.30,0,Presvika,"18 x 18 x 2 cm, kieti viršeliai",Lietuvių,1,4,
Encanto,Kamile Stokowska,2021,64,0,0,12.99,Egmont Lietuva,"22 x 29,5 x 1 cm, kieti viršeliai",Lietuvių,3,4,
Ernestas ir Selestina. Didžioji erdvinė knyga,Gabrielle Vincent,2019,14,23.19,20.87,0,Žara,"33 x 27 x 2 cm, kieti viršeliai",Lietuvių,3,4,
Ežiukas Latė ir vandens skiltuvas,Sebastian Lybeck,2012,143,0,0,5.39,Baltos lankos,"17,5 x 24,5 cm, kieti viršeliai",Lietuvių,3,3,
Ežiukas Poviliukas jaukinasi baimę,Ona Bitutė,2014,40,14.39,12.95,14.39,Žmogaus psichologijos studija,"23 x 25 cm, kieti viršeliai",Lietuvių,1,5,
Ežiukas,Sheryl Bone,2009,10,1.62,1.46,0,Mūsų knyga,"15 x 10,5 cm, kieti viršeliai",Lietuvių,1,2,
"Ežys: Dairykis, stebėkis ir į galvą dėkis",Liuda Petkevičiūtė,2007,16,0,0,0,Trys nykštukai,"10 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
Ežys ir jūra,Mili Joni,2023,60,10.89,9.80,0,3 norai,"23 x 23 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Ežys ir voverėlė,Pranas Mašiotas,2013,8,0,0,0,Šviesa,"28 x 20 cm, minkšti viršeliai",Lietuvių,0,0,
"Ežys Spyglys: maži, bet naudingi",Veronica Podesta,2018,16,0,0,0,Presvika,"16 x 16 x 0,2 cm, kieti viršeliai",Lietuvių,3,5,
Fabiukas ir pašėlę nutikimai,Veronica Podesta,2018,48,5.65,5.09,5.65,Šviesa,"20 x 25 x 0,5 cm, minkšti viršeliai",Lietuvių,1,5,
Fairy Tales From Mistyland,Edita Lei,2018,96,17.99,16.19,0,Visual Books,"25,4 x 30,8 x 1,5 cm, kieti viršeliai",Anglų,0,0,
Fėja raganaitė,Brigitte Minne,2020,42,0,0,24.99,700 eilučių,"23,5 x 30,3 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Fėjos Evelinos tortadienis,Brigitte Minne,2013,42,0,0,0,Trys nykštukai,"29 x 31 cm, kieti viršeliai",Lietuvių,0,0,
"Fėjos ir stebuklingi poniai. Klijuok lipdukus, spalvink, kurk. 250 lipdukų",Brigitte Minne,2016,32,0,0,0,Vaiga,"35 x 33 x 0,6 cm, minkšti viršeliai",Lietuvių,0,0,
Fidelis ir kiparisas,Dovilė Zavedskaitė,2021,65,15.29,13.76,15.29,Dvi tylos,"17,5 x 25 x 1 cm, kieti viršeliai",Lietuvių,4,5,
Filmukai,Jurga Baltrukonytė,2016,64,0,0,5.79,Alma littera,"20,5 x 20,5 x 0,8 cm, kieti viršeliai",Lietuvių,2,3,
Findusas išsikrausto,Sven Nordqvist,2021,28,0,0,29.79,Nieko rimto,"21,5 x 30,5 x 0,3 cm, kieti viršeliai",Lietuvių,5,5,
Flonflonas ir Miuzetė,Ezbieta,2024,36,11.39,10.25,0,Žalias kalnas,"15,7 x 21,6 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Gaidelis ir vištelė. 6 dėlionės su eilėraštukais 3–4 metų vaikams,Ezbieta,2015,12,0,0,0,Presvika,"16 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Gaidys Giedorius (didžiosios raidės),Petras Cvirka,2020,16,0,0,3.19,Dajalita,"21 x 29 x 0,2 cm, minkšti viršeliai",Lietuvių,2,4,
Gaidys Raudonskiauterys,Perec Markiš,2021,28,5.35,4.82,0,Slinktys,"22,5 x 22,5 x 0,3 cm, minkšti viršeliai",Lietuvių,0,3,
Gaidžio kalnas,Vytautė Žilinskaitė,1981,118,0,0,0,Vaga,"19,5 x 25,5 cm, minkšti viršeliai",Lietuvių,2,3,
Gaidžio kieme,Vytautė Žilinskaitė,1981,6,0,0,0,Egmont Lietuva,"14,5 x 19,5 x 0,5 cm, kieti viršeliai",Lietuvių,1,5,
Gaidžiukas - bėdų maišiukas,Vytautė Žilinskaitė,2012,12,0,0,0,Trys nykštukai,"12 x 15 cm, kieti viršeliai",Lietuvių,0,0,
Gaisrinė. Dėlionių knygelė,Carola von Kessel,2024,12,10.49,8.39,0,Vaiga,"16 x 19 x 2,5 cm, kieti viršeliai",Lietuvių,0,0,
Gaisrinė (2014),Carola von Kessel,2014,10,0,0,0,Trys nykštukai,"11,5 x 9 x 4 cm, kieti viršeliai",Lietuvių,0,0,
Gaisrinė,Carola von Kessel,2007,10,0,0,0,Trys nykštukai,"9 x 9 cm, kieti viršeliai",Lietuvių,0,0,
GALBŪT: pasakojimas apie neribotas kiekvieno iš mūsų galimybes,Kobi Yamada,2020,40,17.02,15.32,0,Apkabink mėnulį,"22 x 31 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Galbūt būsiu policininkas,Kobi Yamada,2020,8,0,0,0,O-press sp.z o.o,"14 x 14 x 0,5 cm, kieti viršeliai",Lietuvių,0,0,
Gamta. Mano didžioji pažinimo knyga,Beatrice Costamagna,2024,18,17.79,16.01,0,Skaitau nuo gimimo,"25,5 x 25,5 x 2,3 cm, kieti viršeliai",Lietuvių,0,0,
Gamtos knyga. Usborne ūkio pasakaitės,Minna Lacey,2011,48,0,0,5.79,Alma littera,"24 x 31 cm, kieti viršeliai",Lietuvių,0,0,
Gandras su parašiutu,Edita Kazakevičienė,2022,32,9.39,5.63,0,Nieko rimto,"24 x 22 x 0,8 cm, kieti viršeliai",Lietuvių,3,5,
Apie gardėsius. Raištelio pokštai,Emanuela Bussolati,2007,10,0,0,0,Presvika,"22 x 22,5 cm, kieti viršeliai",Lietuvių,1,5,
Gardumynai! Vaikučiams pabiručiams,Emanuela Bussolati,2021,14,0,0,0,Trys nykštukai,"9,5 x 8,5 x 1,3 cm, kieti viršeliai",Lietuvių,0,0,
Gardūs skanėstai,Emanuela Bussolati,2012,10,0,0,0,Jūsų Flintas,"12 x 11 cm, kieti viršeliai",Lietuvių,6,4,
Gasparas ir jo nakties draugai,Seng Soun Ratanavanh,2021,40,11.59,10.43,0,Apkabink mėnulį,"22 x 32 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Gatvėje. Pajudink ir pažadink,Seng Soun Ratanavanh,2023,8,10.89,6.53,0,Vaiga,"19,5 x 19,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Gauruota pasaka,Vanda Padimanskaitė,2014,36,0,0,5.99,Vaiga,"20,5 x 20 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Gediminas ir keturi seneliai (2014),Vytautas V. Landsbergis,2014,52,0,0,15.39,Dominicus Lituanus,"18 x 17,5 cm, kieti viršeliai",Lietuvių,3,4,
Gera namučius turėti,Vytautas V. Landsbergis,2010,10,0,0,0,Trys nykštukai,"11 x 15 cm, kieti viršeliai",Lietuvių,0,0,
Gerasis dinozauras. Suklijuok pasaką,Vytautas V. Landsbergis,2015,24,0,0,0,Egmont Lietuva,"20,5 x 29,5 cm, minkšti viršeliai",Lietuvių,1,5,
Gerasis dinozauras,Vytautas V. Landsbergis,2015,64,0,0,0,Egmont Lietuva,"21 x 29 cm, kieti viršeliai",Lietuvių,0,4,
Gerda 2: istorija apie drąsą jūroje,Adrián Macho,2020,32,7.98,7.18,7.98,Nieko rimto,"22 x 28,5 x 0,9 cm, kieti viršeliai",Lietuvių,0,4,
Geriausi draugai,Linda Sarah,2019,32,7.49,4.49,7.49,Presa,"28,5 x 25,2 x 0,9 cm, kieti viršeliai",Lietuvių,2,4,
Geriausia bloga diena gyvenime,Marianna Coppo,2023,48,12.99,11.69,0,Skaitau nuo gimimo,"22,2 x 29,6 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Geriausia diena,Kotryna Zylė,2022,36,14.59,13.13,0,Aukso žuvys,"25,5 x 20,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Geriausia gyventi miške,Violeta Židonytė,2014,8,0,0,0,Kalendorius,"21 x 30 cm, minkšti viršeliai",Lietuvių,0,0,
GERIAUSIA MAMA PASAULYJE: gėrio ir grožio kupina knyga vaikams apie mamas,Sébastien Perez,2023,64,26.79,24.11,0,Obuolys,"25,7 x 26,9 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Geriausia pasaulyje mamytė!,Eleni Zabini,2012,14,0,0,12.99,Nieko rimto,"16 x 16 cm, kieti viršeliai",Lietuvių,0,0,
Geriausia pasaulyje močiutė!,Susanne Lutje,2015,14,0,0,0,Nieko rimto,"15,3 x 15,3 cm, kieti viršeliai",Lietuvių,0,0,
Geriausias pasaulyje senelis!,Susanne Lutje,2015,14,0,0,0,Nieko rimto,"15,3 x 15,3 cm, kieti viršeliai",Lietuvių,2,5,
Geriausias pasaulyje tėvelis!,"Eleni Zabini, Susanne Lutje",2012,10,0,0,0,Nieko rimto,"17 x 17 cm, kieti viršeliai",Lietuvių,0,5,
Šunyčiai patruliai. Kartu bus smagu! Geriausių istorijų kolekcija,"Eleni Zabini, Susanne Lutje",2023,176,19.99,13.99,0,Alma littera,"22,1 x 28,5 x 1,6 cm, kieti viršeliai",Lietuvių,2,4,
Geros senos pasakos,"Eleni Zabini, Susanne Lutje",2020,240,0,0,6.50,Trys nykštukai,"20 x 23 x 2,5 cm, kieti viršeliai",Lietuvių,0,5,
Gigantozauras,Jonny Duddle,2015,32,0,0,0,Nieko rimto,"25 x 29 x 1 cm, kieti viršeliai",Lietuvių,3,4,
Girios pasakėlės,Rene Cloke,2022,70,8.89,7.56,0,Egmont Lietuva,"20,5 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Goris,Virgis Šidlauskas,2021,32,10.91,8.18,10.91,Nieko rimto,"17,4 x 25,1 x 0,7 cm, kieti viršeliai",Lietuvių,0,4,
Graikų mitai mažiesiems,Rosie Dickins,2022,128,13.19,6.99,0,Baltos lankos,"16,5 x 21,3 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Gražaus elgesio abėcėlė,Susanna Mancinotti,1996,45,0,0,6.99,Alma littera,"23 x 28 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Gražiausia Kalėdų eglutė. (Aukso lipdukai),Susanna Mancinotti,2013,14,0,0,0,Trys nykštukai,"13 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
Gražiausia karvutė,Leena Parkkinen,2015,64,0,0,6.99,Nieko rimto,"16,5 x 22,8 cm, kieti viršeliai",Lietuvių,0,4,
Gražiausios „Tūkstančio ir vienos nakties“ pasakos Auksinio kaspino pasakos,Leena Parkkinen,2018,124,0,0,8.99,Presvika,"22 x 28 x 2 cm, kieti viršeliai",Lietuvių,1,5,
Gražiausios Džimbos dainelės vaikams,Leena Parkkinen,2022,8,0,0,0,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,5,5,
Gražiausios kalėdinės istorijos,Leena Parkkinen,2022,192,15.59,13.25,0,Egmont Lietuva,"20,5 x 23 x 1,8 cm, puskiečiai viršeliai",Lietuvių,0,0,
Gražiausios Kalėdų Senelio istorijos,Leena Parkkinen,2024,196,17.59,15.83,0,Egmont Lietuva,"20,5 x 23,2 x 2,4 cm, kieti viršeliai",Lietuvių,0,0,
Gražiausios lietuvių pasakos. 4 pasakėlės vaikams ir ne vaikams,Tadas Adomavičius,2012,68,0,0,0,Jūsų Flintas,"21,5 x 30,5 cm, kieti viršeliai",Lietuvių,2,5,
Gražiausios mamulės Mū ir Varnos istorijos,Jujja Wieslander,2021,124,0,0,22.59,Nieko rimto,"19,8 x 25,6 x 3 cm, kieti viršeliai",Lietuvių,4,4,
Gražiausios mano pasakos,Tony Ross,2012,93,0,0,0,Gimtasis žodis,"25 x 29 cm, kieti viršeliai",Lietuvių,0,0,
"Gražiausios pasakėčios. Visų balti dantys, o kas už jų, nežinai",Tony Ross,2012,100,0,0,0,Trys nykštukai,"17 x 21,5 cm, minkšti viršeliai",Lietuvių,0,5,
GRAŽIAUSIOS PASAKOS: gražiausių pasaulyje pasakų rinkinys su daugybe nuostabių iliustracijų,Charles Perrault,2023,178,22.29,11.15,0,Obuolys,"14,3 x 20,5 x 1,8 cm, kieti viršeliai",Lietuvių,2,2,
Gražiausios pasakos mažyliams,Charles Perrault,2022,72,0,0,0,Egmont Lietuva,"20,5 x 25,7 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Gražiausios pasakos. Vilkas pilkas nebaisus,Charles Perrault,2012,100,0,0,14.19,Trys nykštukai,"17 x 21,5 cm, minkšti viršeliai",Lietuvių,0,0,
"Gražiausios pasakos. Viskas gerai, kas gerai baigiasi",Charles Perrault,2012,100,0,0,3.19,Trys nykštukai,"17 x 21,5 cm, minkšti viršeliai",Lietuvių,0,0,
Gražiausios pasaulio pasakos apie gyvūnus,Charles Perrault,2022,128,15.15,10.61,0,Alma littera,"21,5 x 27,5 x 1,8 cm, kieti viršeliai",Lietuvių,1,5,
Gražiausios vaikystės pasakos,Charles Perrault,2022,196,0,0,12.00,Egmont Lietuva,"20,5 x 23 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Gražiausių pasakų kolekcija. Snieguolė ir septyni nykštukai,Charles Perrault,2019,48,0,0,12.99,Egmont Lietuva,"20,5 x 23 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Gražuolė ir Pabaisa (1994),Charles Perrault,1994,24,0,0,0,Egmont Lietuva,"20 x 20 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Gražuolė ir pabaisa,Jeanne-Marie Leprince De Beaumont,2021,80,11.22,7.85,11.22,Nieko rimto,"24,4 x 30,3 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Gražuolė ir Pabaisa. Pasakėlė prieš miegą,Jeanne-Marie Leprince De Beaumont,2016,16,0,0,0,Egmont Lietuva,"16,5 x 16,5 x 0,3 cm, minkšti viršeliai",Lietuvių,1,5,
Gražuolė ir Pabaisa. Audioknyga,Jeanne-Marie Leprince De Beaumont,2013,32,0,0,0,Egmont Lietuva,"14 x 13 cm, minkšti viršeliai",Lietuvių,1,5,
Gražuolė ir pabaisa. Stebuklingas langas į pasaką,Jeanne-Marie Leprince De Beaumont,2012,26,0,0,0,Egmont Lietuva,"18 x 22,5 cm, kieti viršeliai",Lietuvių,0,0,
Gražus triušio gyvenimas,Pascale Vedere d'Auria,1998,16,0,0,0,Victoria,"22,5 x 29,5 x 0,5 cm, kieti viršeliai",Lietuvių,0,0,
Greisė ir Kalėdų angelas,Lucinda Riley,2021,56,5.99,1.50,0,Tyto alba,"21,3 x 26,6 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Greitoji pagalba,Justinas Marcinkevičius,2023,32,18.49,12.89,18.49,Alma littera,"21,5 x 27 x 0,8 cm, kieti viršeliai",Lietuvių,3,5,
Greitoji pagalba (2014),Justinas Marcinkevičius,2014,10,0,0,0,Trys nykštukai,"11,5 x 9 x 4 cm, kieti viršeliai",Lietuvių,0,0,
Greitoji pagalba,Justinas Marcinkevičius,2012,16,0,0,0,Trys nykštukai,"10 x 9 cm, kieti viršeliai",Lietuvių,0,0,
Greitoji pagalba,Justinas Marcinkevičius,2009,24,0,0,16.59,Alma littera,"20,5 x 29,3 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Greitos mašinos. 2-3 metų vaikams,Justinas Marcinkevičius,2018,10,0,0,0,Presvika,"13,5 x 16,5 x 2,2 cm, minkšti viršeliai",Lietuvių,3,5,
Grėsmingieji dinozaurai. Atverk langelį,Justinas Marcinkevičius,2023,24,10.49,6.29,0,Vaiga,"20 x 20 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
GRETA IR MILŽINAI: įkvėpta Gretos Thunberg siekio išgelbėti pasaulį,Zoë Tucker,2020,32,0,0,6.99,Alma littera,"24 x 28 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Gretutė ir brokoliadienis,Tomas Liutkevičius,2019,48,0,0,6.75,Jūsų Flintas,"23 x 23 x 0,9 cm, kieti viršeliai",Lietuvių,10,5,
"Griaustinis: Dairykis, stebėkis ir į galvą dėkis",Liuda Petkevičiūtė,2007,16,0,0,0,Trys nykštukai,"10 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
