Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
5 minučių pasakos 4 metų vaikams,Krystyna Bardos,2023,48,5.29,4.23,0,Vaiga,"19,5 x 23 x 1 cm, kieti viršeliai",Lietuvių,0,0,
5 minučių pasakos prieš miegą,Krystyna Bardos,2021,176,0,0,24.99,Nieko rimto,"22,2 x 27,8 x 2,3 cm, kieti viršeliai",Lietuvių,5,5,
6 minučių istorijos vaikams,Meredith Costain,2021,192,0,0,4.59,Alma littera,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Triukšmingas ūkis. 60 gyvūnų balsų. Spausk ir klausyk,Meredith Costain,2019,14,0,0,0,Presvika,"24 x 28 x 1,3 cm, kieti viršeliai",Lietuvių,4,4,
Mašinų pasaulis. 60 mašinų garsų. Spausk ir klausyk,Meredith Costain,2019,14,17.84,10.70,0,Presvika,"24 x 28 x 1,3 cm, kieti viršeliai",Lietuvių,4,4,
ABC Mano pirmoji knyga,Meredith Costain,2008,20,0,0,0,Rosma,"20 x 27 cm, kieti viršeliai",Lietuvių,0,0,
ABC mažiesiems,Greta Alice,2019,30,0,0,0,Alma littera,"16,5 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,1,5,
Abc,Aldona Griškevičienė,2014,24,5.79,5.79,0,Aldona Griškevičienė,"27 x 19,5 cm, kieti viršeliai",Lietuvių,1,5,
Abėcėlė,Kazys Jakubėnas,2018,32,4.25,3.83,0,Jotema,"21,5 x 28,6 x 0,3 cm, minkšti viršeliai",Lietuvių,1,5,
Abėcėlė. Garsų knyga,Kazys Jakubėnas,2023,14,19.49,15.59,19.49,Presvika,"29,5 x 29,5 x 1,8 cm, kieti viršeliai",Lietuvių,5,4,
Abėcėlė. Knygelė-ūgio matuoklis,Kazys Jakubėnas,2000,14,0,0,0,Dargenis,"17,5 x 19,5 cm, minkšti viršeliai",Lietuvių,0,0,
Abėcėlė – mano draugė,Violeta Židonytė,2014,8,0,0,0,Kalendorius,"21 x 30 cm, minkšti viršeliai",Lietuvių,2,5,
Abėcėlė (2000),Martynas Vainilaitis,2000,32,0,0,0,Žara,"22 x 29,5 cm, kieti viršeliai",Lietuvių,0,0,
Abėcėlė. Garsų knyga,Kazys Jakubėnas,2013,16,0,0,10.59,Presvika,"29,5 x 29,5 cm, kieti viršeliai",Lietuvių,4,4,
Abėčėlė,Maksas Melmanas,2021,44,0,0,0,Tikra knyga,"17,5 x 17,5 cm, kieti viršeliai",Lietuvių,0,4,
Abėcėlė ir skiemenuoti žodžiai,Inesa Gervė,2022,32,8.19,6.14,0,Vaiga,"21,5 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Abėcėlė. Su garsais,Kazys Jakubėnas,2013,16,0,0,0,Alma littera,"29,5 x 33 cm, kieti viršeliai",Lietuvių,2,4,
Abėcėlė,Kazys Jakubėnas,2012,32,0,0,0,Alma littera,"28 x 19 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Abejur: (ne)paprastos pasakos,Jovilė Jurkonytė,2020,64,8.99,7.19,8.99,Vaiga,"22 x 28,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Ačija,Elena Motiejūnaitė,2018,36,11.79,10.61,0,Vaistų žinios,"21 x 29 x 0,4 cm, kieti viršeliai",Lietuvių,5,5,
"Ačiū. Žodis, kurį visi turime prisiminti",Elena Motiejūnaitė,2018,8,0,0,0,Vaiga,"20,5 x 20,5 x 1 cm",Lietuvių,3,4,
AČIŪ IR PRAŠAU: atverk ir sužinok,Paolo Mancini,2019,12,0,0,0,Alma littera,"19,5 x 19,5 x 2 cm, kieti viršeliai",Lietuvių,2,4,
Afrikoje. Vartome ir deriname,Paolo Mancini,2012,24,0,0,0,Presvika,"21 x 12 cm, kieti viršeliai",Lietuvių,1,5,
Afrikos pasakos,Paolo Mancini,2022,72,9.25,8.33,0,Briedis,"21 x 26 x 1,2 cm, kieti viršeliai",Lietuvių,1,5,
Agutė,Birutė Tiknevičiūtė,2012,23,0,0,0,Naujasis lankas,"21 x 29,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
"Ak tos pupos: Dairykis, stebėkis ir į galvą dėkis",Liuda Petkevičiūtė,2007,16,0,0,0,Trys nykštukai,"10 x 13 cm, minkšti viršeliai",Lietuvių,0,0,
Akmenėlis,Marius Marcinkevičius,2020,56,0,0,0,Tikra knyga,"17 x 24 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Akvariumo istorijos. Eglės Spyglės paslaptis,Rimas Valeikis,2014,40,0,0,6.39,Baltic RED,"25 x 31 cm, kieti viršeliai",Lietuvių,1,5,
Akvariumo istorijos. Lilė ir melo pinklės,Rimas Valeikis,2015,40,0,0,3.39,Baltic RED,"24 x 30 cm, kieti viršeliai",Lietuvių,0,4,
Alavinis kareivėlis,Rimas Valeikis,2002,12,0,0,0,Mūsų knyga,"20 x 26 cm, kieti viršeliai",Lietuvių,0,0,
Alberta ieško meilės,Isabel Abedi,2013,32,0,0,2.19,Gimtasis žodis,"27 x 25 cm, kieti viršeliai",Lietuvių,2,5,
Aliukas snaudaliukas,Remigijus Baltrušaitis,2012,30,0,0,3.39,Metodika,"16,5 x 25 cm, kieti viršeliai",Lietuvių,0,0,
Alvinas ir burundukai (3). Romanas vaikams,Perdita Finn,2011,176,0,0,2.19,Obuoliukas,"14 x 20 cm, minkšti viršeliai",Lietuvių,4,3,
Ambrozijus pradeda pirmas,Sigutė Ach,2006,48,0,0,0,Nieko rimto,"15 x 14 cm, kieti viršeliai",Lietuvių,1,5,
"Amelija ir senojo rūsio paslaptis: pasakojimai, lavinantys skaitymo įgūdžius",Agata Giełczyńska-Jonik,2022,32,4.86,3.65,0,Presvika,"14,5 x 19,5 x 0,4 cm, minkšti viršeliai",Lietuvių,1,5,
Amžina meilė,Stephanie Moss,2024,24,3.79,2.84,0,Vaiga,"24,9 x 24,9 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Ančių močiutė,Virgina Šukytė,2008,95,0,0,4.59,Gimtasis žodis,"15 x 24 cm, kieti viršeliai",Lietuvių,0,5,
Anderseno pasakos su garsais,Virgina Šukytė,2012,20,0,0,0,Presvika,"30 x 29,5 cm, kieti viršeliai",Lietuvių,2,4,
Angeliuko Mykoliuko pasakaitės,Vida Bladykaitė,2018,56,11.25,10.13,0,"Pasaulio lietuvių kultūros, mokslo ir švietimo centras","17 x 24 x 0,4 cm, minkšti viršeliai",Lietuvių,0,0,
Angliškai kalbanti abėcėlė su nepaprastu rašikliu. Klausykis ir išmok,Vida Bladykaitė,2014,16,0,0,0,Trys nykštukai,"29 x 31 cm, kieti viršeliai",Lietuvių,1,5,
Angry Birds. Nesklandumai paukščių saloje,Sarah Stephens,2016,32,6.25,3.13,0,Obuoliukas,"15 x 22 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Angry Birds. Susipažink su Redu,Sarah Stephens,2016,32,0,0,5.18,Obuoliukas,"15 x 22 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Ant didžiulės musmirės,Mies van Hout,2015,32,0,0,24.99,Nieko rimto,"17,5 x 20,5 cm, kieti viršeliai",Lietuvių,3,4,
Antano cirkas,Peter Svetina,2015,48,0,0,5.79,Nieko rimto,"15 x 22 cm, kieti viršeliai",Lietuvių,0,3,
"Antis, mirtis ir tulpė",Wolf Erlbruch,2018,32,0,0,0,Odilė,"24,5 x 30,5 x 0,8 cm, kieti viršeliai",Lietuvių,2,5,
Antis patrankoje,Joy Cowley,2020,36,0,0,18.99,700 eilučių,"22 x 27 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Antutė ir saulutė,Joy Cowley,2003,7,0,0,0,Trys nykštukai,"17 x 19 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Antytė Kvarksytė,Janas Kazimiežas Sivekas,2011,10,0,0,15.39,Ramduva,"15,5 x 19 cm, kieti viršeliai",Lietuvių,3,5,
"Apie banginį, kuris norėjo visko daug: knyga apie brangiausius dalykus, slypinčius mūsų širdyse",Rachel Bright,2021,32,8.59,7.73,0,Baltos lankos,"21,6 x 26,5 x 0,8 cm, kieti viršeliai",Lietuvių,5,5,
Apie gerumo stebuklus,Liuda Petkevičiūtė,2008,7,0,0,6.99,Trys nykštukai,"22 x 27,5 cm, kieti viršeliai",Lietuvių,0,0,
Apie karves ir veršiukus,Emilie Beaumont,2017,16,0,0,0,Trys nykštukai,"12,5 x 13,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Apie kates ir kačiukus,Emilie Beaumont,2017,16,0,0,0,Trys nykštukai,"13,5 x 12,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
"Apie Lapiną, kuris pametė protą",Martin Baltscheit,2020,40,0,0,16.59,Odilė,"25 x 25 x 0,8 cm, kieti viršeliai",Lietuvių,2,3,
"Apie mažą kiaulaitę, kuri negalėjo pasakyti ne",Sabine Ludwig,2012,32,0,0,10.89,Gimtasis žodis,"27 x 22 cm, kieti viršeliai",Lietuvių,1,5,
Apie raganas ir karalaites. Pelenė,Sabine Ludwig,2009,12,0,0,0,Trys nykštukai,"20 x 27 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Apie šį bei tą. Trumpos istorijos,Kęstutis Kasparavičius,2021,56,0,0,12.99,Nieko rimto,"22 x 24,5 x 1 cm, kieti viršeliai",Lietuvių,9,5,
Apie šunis ir šuniukus,Emilie Beaumont,2017,16,0,0,0,Trys nykštukai,"12,5 x 13,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Apie šviesą lange: kasdienybės pasakos,Eglė Venslovaitė Šiliūnienė,2018,52,0,0,0,Grafija,"17 x 23 x 0,5 cm, minkšti viršeliai",Lietuvių,2,5,
Apie triušius ir triušiukus,Emilie Beaumont,2017,16,0,0,0,Trys nykštukai,"13,5 x 12,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Apkabink mane,Przemysław Wechterowicz,2020,128,0,0,10.59,Nieko rimto,"16,6 x 22,6 x 1,4 cm, kieti viršeliai",Lietuvių,9,5,
Apsemti,Mariajo Ilustrajo,2023,40,15.29,13.76,0,Apkabink mėnulį,"22,5 x 29,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Apsikabink mane,Stephanie Moss,2023,24,3.99,2.59,0,Vaiga,"25 x 25 cm, minkšti viršeliai",Lietuvių,0,0,
Ar gali surasti linksmąjį šunelį? Surask ir apibrauk (su nutrinamais puslapiais),Stephanie Moss,2018,10,0,0,0,Vaiga,"21 x 25 x 1,5 cm, kieti viršeliai",Lietuvių,2,5,
Ar galiu pažaisti?,Nicola Kinnear,2022,32,0,0,11.79,Alma littera,"25 x 27,5 x 0,7 cm, kieti viršeliai",Lietuvių,0,4,
Ar jie perdžia?,Nick Caruso,2020,48,0,0,0,Helios Kirjastus,"18,6 x 21 cm, kieti viršeliai",Lietuvių,11,4,
Ar mano marškinėliai susitaukė? Galvojimo kampelis,Nick Caruso,2006,24,0,0,2.09,Egmont Lietuva,"22,0 x 20,0 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Ar pažįstat Skeltalūpį?,Nick Caruso,2010,18,0,0,0,Trys nykštukai,"8,8 x 8,5 cm, kieti viršeliai",Lietuvių,0,0,
Ar pažįsti Petsoną ir Findusą?,Sven Nordqvist,2021,14,11.22,10.10,0,Nieko rimto,"17 x 17 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Ar sapnas ateis?,Viktorija Valužytė,2023,48,11.29,10.16,0,Muzikija,"24,5 x 22,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Ar tu mano baubas?,Amanda Noll,2023,24,9.99,7.99,0,Lietuvos rašytojų sąjungos leidykla,"20,3 x 20,3 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Ar tu moki skraidyti?,Brenda Apsley,2013,10,0,0,0,Alma littera,"19,5 x 19,5 cm, kieti viršeliai",Lietuvių,1,2,
Ar žinai? Apie gyvūnus,Sophie de Mullenheim,2022,112,22.19,13.29,22.19,Alma littera,"16 x 21 x 3,2 cm, kieti viršeliai",Lietuvių,1,5,
"Ar žinai, kaip aš tave myliu?",Sam McBratney,2013,24,0,0,18.99,Alma littera,"22 x 25 cm, kieti viršeliai",Lietuvių,5,5,
"Ar žinai, kas vyksta pasaulyje naktį? Kiek visko nutinka, kol tu sapnuoji",Karolin Kuntzel,2016,112,0,0,12.99,Vaiga,"22 x 28,5 cm, kieti viršeliai",Lietuvių,2,3,
Aria aria traktoriukas: burzgia pievoj varikliukas,Karolin Kuntzel,2020,12,0,0,0,Trys nykštukai,"16 x 9 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Arkliai. Dėlionių knyga (penkios 48 detalių dėlionės),Karolin Kuntzel,2006,12,0,0,0,Mūsų knyga,"33 x 24 cm, kieti viršeliai",Lietuvių,0,0,
Arklio Dominyko kelionė į žvaigždes: antroji knyga apie arklį Dominyką ir jo svajonių Rugiagėlę,Vytautas V. Landsbergis,2020,104,8.79,7.91,8.79,Dominicus Lituanus,"17 x 23,5 x 1,1 cm, kieti viršeliai",Lietuvių,5,4,
Arklio Dominyko meilė (2005),Vytautas V. Landsbergis,2005,142,0,0,7.11,Nieko rimto,"17 x 16, kieti viršeliai",Lietuvių,0,4,
Arklio Dominyko meilė,Vytautas V. Landsbergis,2015,84,0,0,6.99,Dominicus Lituanus,"21 x 27,6 cm, kieti viršeliai",Lietuvių,0,0,
Arklio Dominyko meilė (CD),Vytautas V. Landsbergis,2004,84,0,0,0,Nieko rimto,"14 x 12,5, kompaktinis diskas",Lietuvių,0,0,
Arkliukai krutuliukai,Agneszka Fraczek,2012,10,0,0,0,Trys nykštukai,"15 x 15 cm, kieti viršeliai",Lietuvių,1,5,
Aš – Princas pasakorius,Vitalija Tarutienė,2008,32,0,0,2.00,Naujasis lankas,"16 x 23 x 0,3 cm, minkšti viršeliai",Lietuvių,1,5,
Aš augu!,Valérie Guidoux,2013,25,0,0,0,Baltos lankos,"21 x 20 cm, minkšti viršeliai",Lietuvių,1,5,
