Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
Blondinė gaus ko nori,Vilius Mačiliūnas,"Detektyvai, trileriai",2020,208,6.89,6.20,0,Slinktys,"14 x 21 x 1,6 cm, minkšti viršeliai",Lietuvių,4,5
Blondinė pamušta akimi,Erle Stanley Gardner,"Detektyvai, trileriai",1994,192,0,0,2.00,Europa,"14 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Blood wedding,Skomantas,Užsienio autorių romanai,1998,220,0,0,0,Tvermė,"10,5 x 17,5 cm, minkšti viršeliai",Anglų,0,4
Blosholmo valdovė,H. Hagardas,Užsienio autorių romanai,1968,267,0,0,2.00,Vaga,"13,5 x 20,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0
Blūdas. Klaida,Julijonas Lindė-Dobilas,Lietuvių autorių romanai,1990,597,0,0,2.09,Vaga,"14,5 x 21 cm, kieti viršeliai",Lietuvių,0,2
Blunkančių likimų liudytojai,Janina Survilaitė,Lietuvių autorių romanai,2017,272,9.19,8.27,9.19,Andrena,"15,5 x 22 x 2,5 cm, kieti viršeliai",Lietuvių,3,4
Blyksnis tamsoje,Stacy Willingham,"Detektyvai, trileriai",2022,384,5.49,4.94,5.49,Jotema,"15 x 22 x 3,2 cm, kieti viršeliai",Lietuvių,11,4
Blyški ugnis,Vladimir Nabokov,Užsienio autorių romanai,2022,288,14.85,13.37,0,Rara,"14 x 21 x 2,5 cm, minkšti viršeliai",Lietuvių,0,4
Boa,Dainius Gintalas,"Poezija, drama, esė",2007,128,0,0,6.99,Kitos knygos,"15 x 20 cm, minkšti viršeliai",Lietuvių,0,3
Bobulės vargai (1977),Vincas Krėvė,Knygos paaugliams,1977,193,0,0,2.00,Vaga,"12,5 x 17 x 1 cm, kieti viršeliai",Lietuvių,1,5
Bobulės vargai,Vincas Krėvė,Knygos paaugliams,1968,166,0,0,2.19,Vaga,"12 x 17 cm, kieti viršeliai",Lietuvių,1,5
Bogenė,Gundega Repšė,Užsienio autorių romanai,2022,80,18.89,15.11,0,Lietuvos rašytojų sąjungos leidykla,"15,5 x 24,3 x 1 cm, kieti viršeliai",Lietuvių,0,3
Bohema neis į dangų,Raima Zander,Lietuvių autorių romanai,2021,232,22.89,13.73,0,Homo liber,"15 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,1,5
Bohemijos fragmentai,Ramūnas Čičelis,"Poezija, drama, esė",2015,40,0,0,3.39,Versus Aureus,"14 x 21 cm, minkšti viršeliai",Lietuvių,0,2
Bokštas (PFAF 55),Colin Wilson,Fantastika,1996,223,0,0,6.99,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Bokštas,Ene Mihkelson,"Poezija, drama, esė",2022,112,18.99,15.19,0,Lietuvos rašytojų sąjungos leidykla,"15,3 x 24,5 x 1,2 cm, kieti viršeliai",Lietuvių,1,5
Labirintas. Bokšto statyba,Friedrich Durrenmatt,"Poezija, drama, esė",2002,478,0,0,3.50,Lietuvos rašytojų sąjungos leidykla,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Bonsai. Asmeninis medžių gyvenimas,Alejandro Zambra,Užsienio autorių romanai,2021,120,10.59,9.53,10.59,Rara,"14 x 21 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Bordžijos. Vienos šeimos romanas,Alejandro Zambra,Užsienio autorių romanai,1994,115,0,0,0,Varpas,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Bordžijų šeima,Markas Van Heleris,Užsienio autorių romanai,1994,96,0,0,0,Europa,"12 x 20 x 0,4 cm, minkšti viršeliai",Lietuvių,0,3
Boriso Davidovičiaus kapas,Danilo Kiš,Užsienio autorių romanai,2017,180,8.99,6.29,8.99,Kitos knygos,"14 x 20 x 1,5 cm, minkšti viršeliai",Lietuvių,1,5
Bornas. Sunaikinta tapatybė,Robert Ludlum,"Detektyvai, trileriai",2009,608,0,0,3.99,Obuolys,"10,5 x 17 cm, minkšti viršeliai",Lietuvių,3,4
Boružė ant delno,Birutė Vėlyvytė,Lietuvių autorių romanai,1991,72,0,0,2.79,Spauda,"13 x 20 x 0,5 cm, minkšti viršeliai",Lietuvių,0,0
Boso patikėtinis,Peter Maas,Istorija,1999,238,0,0,16.99,Tyrai,"18 x 24 cm, kieti viršeliai",Lietuvių,0,0
Brajeno paslaptis,Kara Lennox,Meilės romanai,2008,192,0,0,2.79,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Brandenburgo vartai.,Rimantas Juodvalkis,Lietuvių autorių romanai,2009,266,0,0,6.50,Gimtasis žodis,"14,5 x 23,5 cm, minkšti viršeliai",Lietuvių,0,0
Brandos amžius,Jean-Paul Sartre,Klasika,2011,392,0,0,29.99,Vaga,"14,5 x 21,7 cm, kieti viršeliai",Lietuvių,0,4
Brangakmenis kaukolėje,Michael Moorock,Fantastika,2010,368,0,0,0,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Brangesnė už deimantus,Sarah Morgan,Meilės romanai,2007,192,0,0,10.99,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,4
Brangesnė už gyvenimą. Lenktosios gatvės istorijos. 3 knyga,Lisa Kleypas,Meilės romanai,2017,350,0,0,8.19,Svajonių knygos,"14,5 x 21 x 3 cm, kieti viršeliai",Lietuvių,3,5
Brangiausias deimantas,Lisa Kleypas,Meilės romanai,2010,192,0,0,2.79,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,3
Brangioji Kasandra. Raveneliai. Kilmingųjų aistros. 6 knyga,Lisa Kleypas,Meilės romanai,2021,320,11.19,7.27,11.19,Svajonių knygos,"14,5 x 21 x 2,7 cm, kieti viršeliai",Lietuvių,3,4
BRANGIOJI MAMA. Išskirtinė knygos.lt kolekcija 26/100,Nova Lee Maier,"Detektyvai, trileriai",2024,368,5.00,5.00,0,knygos.lt,"13,7 x 20,8 x 2,4 cm, minkšti viršeliai",Lietuvių,0,0
"BRANGIOJI MAMA. Motina privalo apginti savo vaikus, ir ji tai padarė... Bestselerio „Gimdyvės padėjėja“ autorė dovanoja įtampos ir siaubo persmelktą trilerį",Nova Lee Maier,"Detektyvai, trileriai",2022,368,22.89,6.87,22.89,BALTO leidybos namai,"14,3 x 21,3 x 2,9 cm, kieti viršeliai",Lietuvių,12,4
"Brangioji, norėjau tau pasakyti",Louisa Young,Meilės romanai,2013,368,0,0,5.79,Jotema,"15 x 22 cm, kieti viršeliai",Lietuvių,8,4
Brangus gyvenime,Alice Munro,Užsienio autorių romanai,2014,312,0,0,18.99,Alma littera,"14 x 23,5 cm, kieti viršeliai",Lietuvių,9,5
Brangus pasimatymas,Roxanne St. Claire,Meilės romanai,2008,192,0,0,0,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,1,5
Brangus voratinklis,Eva Mondinjani,Meilės romanai,1998,304,0,0,2.00,Rosma,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Brangus voratinklis,Eva Mondinjani,Meilės romanai,1999,456,0,0,3.39,Rosma,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
"Brangusis, ar mane girdi?..",Nicole de Buron,Užsienio autorių romanai,2005,231,0,0,14.19,Vaga,"14,3 x 21,5 x 1,5 cm, minkšti viršeliai",Lietuvių,0,4
Brangusis Džonai,Nicholas Sparks,Meilės romanai,2012,480,0,0,4.59,Obuolys,"12,5 x 18,7 cm, minkšti viršeliai",Lietuvių,15,4
Brangutė. Magnato kerštas,Laura Wright,Meilės romanai,2009,368,0,0,2.19,UAB Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,0
Brangutė,Laura Wright,Meilės romanai,2006,192,0,0,11.99,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,1,5
Brangutis,Sidonie-Gabrielle Collete,Klasika,2010,320,0,0,2.19,Obuolys,"10,5 x 17 cm, minkšti viršeliai",Lietuvių,6,2
Braškių vagis,Joanne Harris,Meilės romanai,2022,320,16.19,8.09,16.19,Sofoklis,"14 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,5,4
Brauno judesiai,Jurgis Gimberis,Lietuvių autorių romanai,2013,128,3.23,2.91,3.23,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,1,4
Breather the love,Monika Petkevičiūtė,Meilės romanai,2021,202,8.79,7.91,8.79,Monika Petkevičiūtė,"14 x 20,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0
Brėkštanti aušra. 4-oji knyga,Stephenie Meyer,Knygos paaugliams,2010,648,0,0,2.43,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,9,4
Brida,Paulo Coelho,Užsienio autorių romanai,2008,248,0,0,6.99,Vaga,"14,5 x 21 cm, kieti viršeliai",Lietuvių,2,5
Bridžita Džouns. Kūdikis,Helen Fielding,Užsienio autorių romanai,2017,208,0,0,3.39,Alma littera,"14,3 x 23,5 x 2,1 cm, kieti viršeliai",Lietuvių,8,3
Bridžita Džouns. Dienoraštis,Helen Fielding,Užsienio autorių romanai,2014,272,0,0,6.99,Alma littera,"14,3 x 23,5 cm, kieti viršeliai",Lietuvių,6,4
Bridžita Džouns. Pamišusi dėl meilės,Helen Fielding,Užsienio autorių romanai,2014,424,0,0,8.19,Alma littera,"14,3 x 23,5 cm, kieti viršeliai",Lietuvių,11,4
Bridžita Džouns: Ties proto riba,Helen Fielding,Užsienio autorių romanai,2001,400,0,0,2.13,Alma littera,"13 x 20,4 cm, kieti viršeliai",Lietuvių,1,5
Bridžita Džouns. Ties proto riba,Helen Fielding,Meilės romanai,2014,376,0,0,6.99,Alma littera,"14,3 x 23,5 cm, kieti viršeliai",Lietuvių,6,4
Bridžitos Džouns dienoraštis,Helen Fielding,Užsienio autorių romanai,1999,267,0,0,2.10,Alma littera,"13 x 20,5 cm, kieti viršeliai",Lietuvių,2,5
Briedžiai mano broliai,Aldona Gustas,"Poezija, drama, esė",1983,110,0,0,9.39,Vaga,"10 x 16 cm, kieti viršeliai",Lietuvių,0,0
Brigitos stebuklas,Vladimiras Kaijakas,Užsienio autorių romanai,1974,235,0,0,2.19,Vaga,"13 x 20,5 cm, kieti viršeliai",Lenkų,0,0
Briliantai proletariato diktatūrai,J. Semionovas,Užsienio autorių romanai,1987,280,0,0,2.00,Mintis,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Briliantas. Karštas kraujas,Barbara Delinsky,Meilės romanai,1996,288,0,0,3.39,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Briliantų paveldėtoja,Eva Modinjani,Užsienio autorių romanai,2000,390,0,0,0,Rosma,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Briuselio dienoraščiai,Vytautas Landsbergis,"Poezija, drama, esė",2014,216,0,0,0,Dominicus Lituanus,"15 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
BRODEKAS,Philippe Claudel,Užsienio autorių romanai,2018,288,0,0,5.79,Baltos lankos,"14,5 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,22,4
Brokeris,John Grisham,"Detektyvai, trileriai",2007,336,0,0,5.19,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,5
Broliai Kalėdos,Giacomo Papi,Užsienio autorių romanai,2020,256,10.29,9.26,10.29,Alma littera,"14,3 x 21,3 x 2,5 cm, kieti viršeliai",Lietuvių,0,3
BROLIAI KARAMAZOVAI: pirmą kartą lietuviškai – visi tomai vienoje knygoje,Fiodor Dostojevskij,Klasika,2019,847,0,0,0,Obuolys,"14,5 x 21,5 x 6,5 cm, kieti viršeliai",Lietuvių,10,4
Broliai Karamazovai. I ir II tomai (1960),Fiodoras Dostojevskis,Klasika,1960,1220,0,0,9.39,Valstybinė grožinės literatūros leidykla,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Broliai Karamazovai (I ir II tomai),Fiodoras Dostojevskis,Klasika,1976,1220,0,0,0,Vaga,"13 x 20,5 x 2,5 cm, kieti viršeliai",Lietuvių,1,5
Broliai Karamazovai. I tomas (1960),Fiodoras Dostojevskis,Klasika,1960,536,0,0,4.59,Valstybinė grožinės literatūros leidykla,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Broliai Karamazovai. II tomas (1960),Fiodoras Dostojevskis,Klasika,1960,684,0,0,7.00,Valstybinė grožinės literatūros leidykla,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Broliai Karamazovai. I tomas (Pasaulinės literatūros biblioteka 60),Fiodoras Dostojevskis,Klasika,1986,352,0,0,2.19,Vaga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,2,5
Broliai Karamazovai I tomas,Fiodoras Dostojevskis,Knygos paaugliams,2008,552,9.79,8.81,9.79,Margi raštai,"13 x 21 cm, kieti viršeliai",Lietuvių,4,5
Broliai Karamazovai II tomas (Pasaulinės literatūros biblioteka 61),Fiodoras Dostojevskis,Klasika,1986,475,0,0,5.79,Vaga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,5
Broliai Karamazovai II tomas,Fiodoras Dostojevskis,Knygos paaugliams,2008,749,11.39,10.25,11.39,Margi raštai,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
"Broliai Wrightai. Išradėjai, išmokę pasaulį skraidyti",David McCullough,"Biografijos, publicistika",2024,366,21.79,19.61,21.79,Alma littera,"15 x 21,5 x 2,6 cm, kieti viršeliai",Lietuvių,0,0
Broliai (Konstantinas Fedinas),Konstantinas Fedinas,Užsienio autorių romanai,1983,388,0,0,2.19,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Brolija,John Grisham,"Detektyvai, trileriai",2003,320,0,0,6.19,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,4
Brolija,John Grisham,"Detektyvai, trileriai",2013,352,0,0,5.79,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,3,3
Brolio kerštas,Christie Ridgway,Meilės romanai,2010,186,0,0,2.19,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Brolis Beatas Serafinis,Skapinas Virdžilijus,Užsienio autorių romanai,1967,353,0,0,2.00,[ b.l],"11 x 17 cm, kieti viršeliai",Lietuvių,0,0
Brolis Berserkeris,Fred Saberhagen,Fantastika,2009,320,0,0,24.99,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,3
Bronislovas ir imperatorius,Regimantas Dima,Lietuvių autorių romanai,2016,223,0,0,2.79,Tyto alba,"14,7 x 21 x 2,4 cm, kieti viršeliai",Lietuvių,3,4
Bronzinės vestuvės. Busardelių šeima,Philippe Heriat,Užsienio autorių romanai,1997,318,0,0,0,Alma littera,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Bronzinio įdegio kerai,Barbara Delinsky,Meilės romanai,2011,320,0,0,11.79,Svajonių knygos,"10,5 x 18 cm, minkšti viršeliai",Lietuvių,0,3
Bruklinas,Colm Toibin,Meilės romanai,2024,288,13.29,10.63,13.29,Jotema,"15 x 22 x 2,7 cm, kieti viršeliai",Lietuvių,3,4
Brydė,Valdas Papievis,Lietuvių autorių romanai,2018,336,0,0,6.99,Odilė,"15 x 21 cm, minkšti viršeliai",Lietuvių,2,5
Brydės,Petras Keidošius,"Poezija, drama, esė",1982,159,0,0,2.09,Vaga,"13 x 17,5 cm, kieti viršeliai",Lietuvių,0,0
Bu bu itis: Alisa Meler išeina pro duris,Agnė Žagrakalytė,"Poezija, drama, esė",2019,56,8.59,6.87,0,Tyto alba,"15 x 25 x 0,7 cm, minkšti viršeliai",Lietuvių,0,3
Bucharos budeliai,Sadridinas Aini,Užsienio autorių romanai,1978,303,0,0,0,Vaga,"13 x 20,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0
"Bučinys, pakeitęs viską",Jessica Lemmon,Meilės romanai,2023,256,6.49,5.19,6.49,Svajonių knygos,"11,5 x 18,5 x 1,5 cm, minkšti viršeliai",Lietuvių,0,4
Bučinys tamsoje,Meryl Sojer,Meilės romanai,1998,388,0,0,0,Rosma,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Bučiuoti Kelą,Anne Laurence,Meilės romanai,2003,238,0,0,2.31,Dajalita,"11 x 18 cm, minkšti viršeliai",Lietuvių,0,0
Buda palėpėje,Julie Otsuka,Užsienio autorių romanai,2013,144,0,0,15.99,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,1,4
Budapešto ruduo,F. Karintis,Užsienio autorių romanai,1988,151,0,0,2.19,Mintis,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
"Būdas senovės lietuvių, kalnėnų ir žemaičių (1993)",Simonas Daukantas,Klasika,1993,221,0,0,24.99,Mintis,"17 x 27 x 1,2 cm, kieti viršeliai",Lietuvių,0,0
"Būdas senovės lietuvių, kalnėnų ir žemaičių",Simonas Daukantas,Knygos paaugliams,2007,182,0,0,0,Žaltvykslė,"15 x 22 cm, minkšti viršeliai",Lietuvių,4,5
Budėjimas: vienos nakties karas,Jonas Kiriliauskas,Lietuvių autorių romanai,2021,248,9.59,3.36,9.59,Briedis,"14,5 x 21,5 x 2,5 cm, kieti viršeliai",Lietuvių,4,4
BUDĖJIMAS BAIGTAS: bauginantis žvilgsnis į žmogaus pažeidžiamumą ir neprilygstamas stingdantis laukimas,Stephen King,"Detektyvai, trileriai",2021,432,13.59,13.59,13.59,Alma littera,"14,3 x 23,5 x 2,6 cm, minkšti viršeliai",Lietuvių,6,5
Budenbrokai,T. Manas,Užsienio autorių romanai,1954,594,0,0,0,Vaga,"15 x 22,5 x 3,5 cm, kieti viršeliai",Lietuvių,0,0
Budenbrokai (1968),Thomas Mann,Klasika,1968,666,0,0,24.99,Vaga,"24 x 17 cm, kieti viršeliai",Lietuvių,2,5
Budenbrokai,Thomas Mann,Klasika,2014,608,0,0,0,Jotema,"24 x 17 cm, kieti viršeliai",Lietuvių,4,5
Budėtojas,Valdas Daškevičius,"Poezija, drama, esė",2019,168,7.65,6.89,0,Homo liber,"13,6 x 22 x 1,3 cm, minkšti viršeliai",Lietuvių,0,0
Budinant liūtus,Ayelet Gundar-Goshen,Užsienio autorių romanai,2024,320,17.79,11.25,17.79,Sofoklis,"14,8 x 21,7 x 2,5 cm, kieti viršeliai",Lietuvių,2,4
Budinti šviesa,Joseph O'Connor,Užsienio autorių romanai,2013,268,0,0,0,Mintis,"12,5 x 20,5 cm, minkšti viršeliai",Lietuvių,1,5
Buenos Aires. Voratinkliai draikės be vėjo,Vytautas Sirijos Gira,Lietuvių autorių romanai,1976,519,0,0,2.09,Vaga,"13 x 20 x 2,5 cm, kieti viršeliai",Lietuvių,0,0
Būgnininko dalia 1974,Arkadijus Gaidaras,Užsienio autorių romanai,1974,174,0,0,0,Vaga,"11 x 17 cm, kieti viršeliai",Lietuvių,0,0
Būgnininko dalia 1981,Arkadijus Gaidaras,Užsienio autorių romanai,1981,230,0,0,3.39,Vaga,"13 x 17 cm, kieti viršeliai",Lietuvių,1,4
Būgno oda,Arturo Pérez-Reverte,Užsienio autorių romanai,2005,424,0,0,3.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,0,4
Buitinė,Paulius Norvila,"Poezija, drama, esė",2014,104,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 22,5 cm, minkšti viršeliai",Lietuvių,0,0
Būk ir palaimink,Justinas Marcinkevičius,"Poezija, drama, esė",1980,118,0,0,18.99,Vaga,"12,5 x 23 x 1 cm, kieti viršeliai",Lietuvių,2,5
"Būk mano, Andželika",Dani Collins,Meilės romanai,2020,192,0,0,5.67,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Būk mano ledi. Aristokratų sužadėtuvės. 3 knyga,Janice Preston,Meilės romanai,2019,320,0,0,8.19,Svajonių knygos,"13 x 20,5 x 2,7 cm, kieti viršeliai",Lietuvių,3,4
Būk mano meile,Katrina Cudmore,Meilės romanai,2020,192,1.79,1.79,1.79,Svajonių knygos,"10,6 x 16,7 x 2,5 cm, minkšti viršeliai",Lietuvių,0,4
Būk meilė,Laima Žvirblytė-Jankauskienė,"Poezija, drama, esė",2021,112,0,0,3.39,Printėja,"12 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Būk su manimi,Anne Mather,Meilės romanai,2008,192,0,0,11.99,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Bukolikos. Georgikos. Enėjidė,Vergilijus,"Poezija, drama, esė",2015,624,0,0,24.99,Klasikų asociacija,"15 x 22 cm, kieti viršeliai",Lietuvių,0,0
Bukolikos,Erika Drungytė,"Poezija, drama, esė",2024,80,15.39,13.85,0,Slinktys,"17 x 21 cm, minkšti viršeliai",Lietuvių,0,0
Bulgarai juokiasi,Sudarė Birutė Želvytė,Humoras ir komiksai,1985,231,0,0,2.00,Mintis,"10,5 x 19,5 cm, minkšti viršeliai",Lietuvių,0,0
Bulgarų novelės,Sudarė Birutė Želvytė,Užsienio autorių romanai,1987,487,0,0,2.00,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Bulvinukas,Sofija Markus,Užsienio autorių romanai,1995,99,0,0,0,"""B""","11 x 18, minkšti viršeliai",Lietuvių,0,0
Bumerangas,Aleksandra Marinina,"Detektyvai, trileriai",2004,232,0,0,12.87,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Bumerangas,Aleksandra Marinina,"Detektyvai, trileriai",2012,256,0,0,3.74,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,2
Būna taip nedažnai,Jonas Jakštas,"Poezija, drama, esė",2019,104,7.65,6.89,0,Homo liber,"14,5 x 23 x 1 cm, kieti viršeliai",Lietuvių,0,0
Buožgalviai Ligurijoje,Peter Smith,Užsienio autorių romanai,2017,144,6.00,5.40,0,Kalendorius,"14 x 20 x 1,2 cm, minkšti viršeliai",Lietuvių,3,3
Burbulas. Apie pasaulį be vaikų,Rasa Sagė,Lietuvių autorių romanai,2021,224,14.69,13.22,14.69,Lietuvių laisvalaikio literatūros lyga,"15 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,13,4
Būrėja nėriniais,Brunonia Barry,Užsienio autorių romanai,2009,360,0,0,5.39,Versus Aureus,"15 x 22 cm, kieti viršeliai",Lietuvių,4,4
Būrėja Vaiva. Kažkas ateina ir padeda,Artūras Mankevičius,Lietuvių autorių romanai,2010,168,0,0,6.99,Alma littera,"16,7 x 23,5 cm, minkšti viršeliai",Lietuvių,1,4
Buridanas. Karalienė Margarita,Mišelis Zevakas,Istoriniai romanai,1993,294,0,0,2.00,Varpas,"14 x 20 x 1,7 cm, minkšti viršeliai",Lietuvių,1,5
Buridanas. Stebuklų rūmai. Montfoko kartuvės,Mišelis Zevakas,Istoriniai romanai,1994,343,0,0,2.19,Varpas,"12,5 x 19,5 x 2 cm, minkšti viršeliai",Lietuvių,1,5
Buridano asilas,Giunteris de Broinas,Užsienio autorių romanai,1972,215,0,0,4.59,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Burtai šampano taurėje. Pakrantės ragana,Anė Meidžer,Meilės romanai,1998,216,0,0,2.19,Mažoji Rosma,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Burtininkas ir kristalas 1 knyga,Stephen King,Užsienio autorių romanai,2002,316,0,0,0,Eridanas,"14,2 x 21,2 cm, minkšti viršeliai",Lietuvių,0,0
Burtininkas ir kristalas 2 knyga,Stephen King,Užsienio autorių romanai,2002,313,0,0,6.99,Eridanas,"14,2 x 21,2 cm, minkšti viršeliai",Lietuvių,0,0
Burtininkės vestuvės. Crescendo,Rozali Eš,Meilės romanai,1994,320,0,0,2.00,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Burtininko mirtis,Peter S. Beagle,Knygos paaugliams,2005,304,0,0,6.99,Eridanas,"17 x 25 cm, kieti viršeliai",Lietuvių,0,4
Burtų medis,Peter Sloterdijk,Užsienio autorių romanai,2021,320,13.25,4.59,0,Sofoklis,"14 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,0,4
Būsenos,Juozas Šikšnelis,"Poezija, drama, esė",2020,232,9.19,8.27,0,Homo liber,"15 x 21 x 2 cm, kieti viršeliai",Lietuvių,0,0
Būsiu paukštis,Robertas Danys,"Poezija, drama, esė",2011,600,0,0,24.99,Nieko rimto,"17 x 24,5 cm, kieti viršeliai",Lietuvių,0,0
Butas Paryžiuje,Michelle Gable,Užsienio autorių romanai,2024,498,20.59,14.41,20.59,Tyto alba,"15,4 x 22,1 x 4,2 cm, kieti viršeliai",Lietuvių,16,4
"Butas Paryžiuje. Paryžius, meilė ir dviejų moterų istorijos, supinančios praeitį ir dabartį",Michelle Gable,Užsienio autorių romanai,2015,496,0,0,14.09,Tyto alba,"14,7 x 22 cm, kieti viršeliai",Lietuvių,16,4
Butas Paryžiuje,Lucy Foley,"Detektyvai, trileriai",2022,352,7.69,7.69,7.69,Jotema,"15 x 22 x 3 cm, kieti viršeliai",Lietuvių,8,4
BUTAS PARYŽIUJE,Guillaume Musso,"Detektyvai, trileriai",2018,360,11.59,10.43,11.59,Baltos lankos,"14,5 x 21 x 3,2 cm, kieti viršeliai",Lietuvių,9,4
Būtasis dažninis kartas,Herkus Kunčius,Lietuvių autorių romanai,1998,212,0,0,4.59,Tyto alba,"14,5 x 20,5 cm, minkšti viršeliai",Lietuvių,0,4
BŪTASIS LAIKAS: unikali grafinė-literatūrinė Aisčio Mickevičiaus jaunystės dėlionė. Su autografu!,Aistis Mickevičius,"Poezija, drama, esė",2021,128,8.89,8.00,0,Obuolys,"13,5 x 20 x 1 cm, minkšti viršeliai",Lietuvių,0,0
"BŪTI (SU) RAGANA. Magiškas, erotiškas ir įtampos kupinas pasakojimas apie amžiną meilę",Lavisa Spell,Meilės romanai,2024,447,14.59,11.67,14.59,Lietuvių laisvalaikio literatūros lyga,"14,3 x 21,3 x 3,4 cm, minkšti viršeliai",Lietuvių,52,4
"BŪTI (SU) RAGANA: magiškas, erotiškas ir įtampos kupinas pasakojimas apie amžiną meilę",Lavisa Spell,Meilės romanai,2016,576,0,0,15.99,Obuolys,"12,5 x 18,7 cm, minkšti viršeliai",Lietuvių,80,4
Būties erozija,Alfonsas Nyka - Niliūnas,"Poezija, drama, esė",1989,364,0,0,0,Vaga,"14,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Būties esmė,Greihamas Grinas,Užsienio autorių romanai,1994,271,0,0,6.99,Amžius,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Būties žvakių šviesoj,Leopoldas Stanevičius,"Poezija, drama, esė",2001,196,5.35,4.82,0,Leopoldas Stanevičius,"12,2 x 20,5 x 1 cm, minkšti viršeliai",Lietuvių,0,0
Būtinoji mirtis,Peter James,"Detektyvai, trileriai",2020,416,0,0,6.49,Jotema,"15 x 22 x 3,5 cm, kieti viršeliai",Lietuvių,9,4
Būtis-nebūtis,Emilija Liegutė,"Poezija, drama, esė",2014,92,0,0,0,Petro ofsetas,"14 x 21,5 cm, minkšti viršeliai",Lietuvių,0,0
Buvau atėjus,Ramutė Skučaitė,"Poezija, drama, esė",2021,120,9.69,7.75,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 24,7 x 1,4 cm, kieti viršeliai",Lietuvių,0,0
Buvęs būsimas,Josie Metcalfe,Meilės romanai,2012,192,0,0,2.19,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,3
