Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
10 anglakalbių poetų,Alfonsas Andriuškevičius,"Poezija, drama, esė",2008,200,0,0,0,Baltos lankos,"13,5 x 21,5 cm, minkšti viršeliai","Lietuvių, Anglų",0,5
10 litų. Grafinė novelė apie Darių ir Girėną,Miglė Anušauskaitė,Humoras ir komiksai,2014,176,0,0,0,Aukso žuvys,"18 x 26 x 1,5 cm, minkšti viršeliai",Lietuvių,2,5
10 minučių 38 sekundės šiame keistame pasaulyje,Elif Shafak,Užsienio autorių romanai,2020,352,13.99,4.88,13.99,Tyto alba,"14,7 x 22,1 x 3,4 cm, kieti viršeliai",Lietuvių,14,4
10 pasimatymų iki TAIP,Cara Colter,Meilės romanai,2001,192,0,0,2.19,Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,0,3
100 du,Kęstutis Navakas,"Poezija, drama, esė",2014,120,0,0,0,Apostrofa,"14 x 21 cm, minkšti viršeliai",Lietuvių,0,4
100 eilėraščių,Leonardas Andriekus,"Poezija, drama, esė",2014,128,0,0,0,Versus Aureus,"13 x 21 cm, minkšti viršeliai",Lietuvių,0,0
1000° moteris,Hallgrimur Helgason,Humoras ir komiksai,2021,568,0,0,21.29,Alma littera,"15 x 24,1 x 3,7 cm, kieti viršeliai",Lietuvių,20,4
109 aforizmai,Ceklis,"Poezija, drama, esė",2018,120,0,0,15.39,Naujasis lankas,"10,5 x 19,5 x 1 cm, minkšti viršeliai",Lietuvių,0,3
14 eilėraščių. 14 стихотворений,Josifas Brodskis,"Poezija, drama, esė",2021,128,0,0,0,Apostrofa,"14 x 21 x 1 cm, minkšti viršeliai","Lietuvių, Rusų",1,5
"14,99 €",Frederic Beigbeder,Užsienio autorių romanai,2006,244,0,0,3.40,Tyto alba,"14,5 x 21,5 cm, minkšti viršeliai",Lietuvių,2,4
153 sonetai,Antanas A. Jonynas,"Poezija, drama, esė",2023,184,15.89,12.71,0,Lietuvos rašytojų sąjungos leidykla,"13 x 19,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,4
16 mėnulių,Kami Garcia,Užsienio autorių romanai,2011,584,0,0,10.10,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,5,5
17 mėnulių,Garcia Kami,Užsienio autorių romanai,2012,536,0,0,18.98,Alma littera,"14 x 21 cm, minkšti viršeliai",Lietuvių,4,4
1793,Niklas Natt och Dag,"Detektyvai, trileriai",2020,384,0,0,5.39,Alma littera,"14,3 x 21,3 x 2,8 cm, kieti viršeliai",Lietuvių,18,4
18 laipsnių šalčio,Stefan Ahnhem,"Detektyvai, trileriai",2021,576,15.91,9.55,15.91,Baltos lankos,"14,5 x 21 x 4 cm, kieti viršeliai",Lietuvių,14,4
1913. Ką būtinai norėjau dar papasakoti,Florian Illies,Užsienio autorių romanai,2019,256,9.99,5.02,9.99,Sofoklis,"14,5 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,1,5
1913. Šimtmečio vasara,Florian Illies,Užsienio autorių romanai,2014,304,0,0,36.99,Sofoklis,"21 x 14 cm, kieti viršeliai",Lietuvių,3,5
1953,Antanas A. Jonynas,"Poezija, drama, esė",2024,68,11.59,10.43,0,Baziliskas,"11,2 x 16,4 x 0,8 cm, minkšti viršeliai","Lietuvių, Vokiečių",0,0
1973-iųjų kiniškas biliardas,Haruki Murakami,Užsienio autorių romanai,2017,182,0,0,6.99,Baltos lankos,"12,5 x 18,7 x 1,7 cm, kieti viršeliai",Lietuvių,5,4
1979,Christian Kracht,Užsienio autorių romanai,2008,152,0,0,2.00,Kitos knygos,"14 x 20 cm, minkšti viršeliai",Lietuvių,0,4
"1984-ieji: klasika, pribloškianti savo aktualumu",George Orwell,Klasika,2021,256,0,0,10.59,Jotema,"15 x 22 x 2,2 cm, minkšti viršeliai",Lietuvių,15,4
1984-ieji,George Orwell,Fantastika,2011,264,0,0,10.59,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,3,4
1984-ieji,George Orwell,Klasika,2023,256,9.99,7.99,9.99,Jotema,"14,8 x 21,8 x 2,4 cm, kieti viršeliai",Lietuvių,84,4
1984-ieji,George Orwell,Fantastika,2015,256,0,0,10.59,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,64,4
1Q84. Antra knyga (liepa–rugsėjis),Haruki Murakami,Užsienio autorių romanai,2011,350,0,0,14.19,Baltos lankos,"15 x 22 cm, kieti viršeliai",Lietuvių,4,5
1Q84. Pirma knyga (balandis–birželis),Haruki Murakami,Užsienio autorių romanai,2011,400,0,0,0,Baltos lankos,"15 x 22,3 cm, kieti viršeliai",Lietuvių,8,4
1Q84. Trečia knyga,Haruki Murakami,Užsienio autorių romanai,2011,415,0,0,19.99,Baltos lankos,"15 x 22 cm, kieti viršeliai",Lietuvių,8,4
"20 000 MYLIŲ PO VANDENIU: prancūzų legendos Jules’io Verne’o mokslinės fantastikos romanas, novatoriškumu bei įžvalgomis pralenkęs savo laiką ir tuo įkvėpęs visas vėlesnes fantastų kartas. Kolekcinis leidimas iliustruotas XIX a. graviūromis!",Jules Verne,Knygos paaugliams,2020,622,28.29,25.46,28.29,Obuolys,"14,2 x 20,5 x 5 cm, kieti viršeliai",Lietuvių,13,4
20 eilėraščių apie meilę ir viena nevilties diena,Pablas Neruda,"Poezija, drama, esė",1971,42,0,0,2.10,Vaga,"13 x 17 cm, minkšti viršeliai",Lietuvių,0,0
2001 metų kosminė odisėja (1974),Arthur C. Clarke,Užsienio autorių romanai,1974,236,0,0,6.99,Vaga,"13,4 x 20,4 cm, kieti viršeliai",Lietuvių,2,5
2001 metų kosminė odisėja,Arthur C. Clarke,Fantastika,2006,276,0,0,0,Tyto alba,"14,5 x 20,5 cm, minkšti viršeliai",Lietuvių,0,0
2012 apokalipsė,Robert Gleason,Fantastika,2010,368,0,0,6.85,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,0,0
2017,Olga Slavnikova,Užsienio autorių romanai,2016,488,0,0,4.50,Alma littera,"14,3 x 23,5 x 3,4 cm, kieti viršeliai",Lietuvių,2,5
2084,Unė Kaunaitė,Fantastika,2023,280,15.99,12.79,15.99,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 2,9 cm, kieti viršeliai",Lietuvių,3,3
